mode,n,block_size,visualize,stage,samples,mean_ms,median_ms,p95_ms,stddev_ms,min_ms,max_ms
scattered,1000,128,0,total,5000,0.099703,0.083968,0.135168,0.069684,0.066560,0.864000
scattered,1000,128,0,frame_wall,5000,0.109351,0.091600,0.161700,0.081525,0.076500,0.962400
scattered,1000,128,1,frame_wall,5000,0.613467,0.543200,0.970000,0.167750,0.464300,2.610400
scattered,1000,128,0,total,5000,0.098292,0.091024,0.137024,0.048674,0.064512,0.603136
scattered,2000,128,0,frame_wall,5000,0.132236,0.120800,0.173100,0.082823,0.081200,3.874100
scattered,2000,128,1,frame_wall,5000,0.651124,0.633800,0.818300,0.092116,0.502700,1.846900
scattered,2000,128,0,total,5000,0.126413,0.115712,0.182272,0.084871,0.075776,3.377088
scattered,2000,128,0,frame_wall,5000,0.148441,0.125000,0.287600,0.075573,0.081000,0.756700
scattered,2000,128,1,frame_wall,5000,0.622464,0.597500,0.871600,0.116594,0.479900,1.402600
scattered,2000,128,0,total,5000,0.136420,0.116736,0.281600,0.074318,0.074752,0.902048
scattered,2000,128,0,frame_wall,5000,0.128097,0.114700,0.169800,0.059510,0.081400,0.686300
scattered,2000,128,1,frame_wall,5000,0.636234,0.599000,0.889600,0.195470,0.474400,4.671000
scattered,2000,128,0,total,5000,0.118781,0.112640,0.147360,0.046803,0.076800,0.596992
scattered,5000,128,0,frame_wall,5000,0.238952,0.226450,0.310700,0.064825,0.143600,0.692100
scattered,5000,128,1,frame_wall,5000,0.700891,0.687600,0.946400,0.113420,0.532400,1.560700
scattered,5000,128,0,total,5000,0.232738,0.226304,0.294912,0.051389,0.137216,0.658432
scattered,5000,128,0,frame_wall,5000,0.243168,0.229800,0.343300,0.072390,0.146100,0.914200
scattered,5000,128,1,frame_wall,5000,0.684852,0.673600,0.925700,0.108303,0.534500,1.315400
scattered,5000,128,0,total,5000,0.230089,0.219136,0.310272,0.059307,0.116736,0.699392
scattered,5000,128,0,frame_wall,5000,0.240605,0.222300,0.494500,0.086775,0.148400,0.956100
scattered,5000,128,1,frame_wall,5000,0.701651,0.687000,0.948100,0.114589,0.538800,1.474700
scattered,5000,128,0,total,5000,0.235990,0.224256,0.304128,0.063984,0.148480,0.903168
scattered,10000,128,0,frame_wall,5000,0.265594,0.250000,0.345400,0.066497,0.168300,0.897500
scattered,10000,128,1,frame_wall,5000,0.735473,0.703800,0.985400,0.122456,0.564200,2.596400
scattered,10000,128,0,total,5000,0.270700,0.259072,0.338912,0.052149,0.168960,0.713728
scattered,10000,128,0,frame_wall,5000,0.286147,0.264500,0.554300,0.092830,0.175600,1.215200
scattered,10000,128,1,frame_wall,5000,0.730603,0.697150,0.976900,0.116005,0.558100,1.473800
scattered,10000,128,0,total,5000,0.257534,0.248832,0.324608,0.051410,0.169984,0.686016
scattered,10000,128,0,frame_wall,5000,0.272812,0.259500,0.338700,0.063925,0.177100,0.763900
scattered,10000,128,1,frame_wall,5000,0.768596,0.721200,1.015900,0.242564,0.554000,6.192600
scattered,10000,128,0,total,5000,0.262635,0.257024,0.322560,0.053372,0.173056,0.812032
scattered,20000,128,0,frame_wall,5000,0.315621,0.278900,0.599200,0.105726,0.210200,0.882900
scattered,20000,128,1,frame_wall,5000,0.762426,0.734800,0.994900,0.111544,0.583400,1.691500
scattered,20000,128,0,total,5000,0.298655,0.273408,0.576512,0.091197,0.193536,0.911360
scattered,20000,128,0,frame_wall,5000,0.286034,0.273300,0.352000,0.061688,0.206600,0.831700
scattered,20000,128,1,frame_wall,5000,0.750445,0.716900,0.997800,0.120163,0.585900,1.745600
scattered,20000,128,0,total,5000,0.289188,0.274432,0.356352,0.063682,0.200704,1.163264
scattered,20000,128,0,frame_wall,5000,0.333144,0.282200,0.618600,0.125132,0.205200,1.103600
scattered,20000,128,1,frame_wall,5000,0.773749,0.739400,1.015100,0.114040,0.583700,1.670000
scattered,20000,128,0,total,5000,0.315064,0.276480,0.589824,0.114426,0.202752,1.662976
scattered,50000,128,0,frame_wall,1000,0.331534,0.305750,0.594900,0.089545,0.261500,0.800800
scattered,50000,128,1,frame_wall,1000,0.785396,0.717900,1.038500,0.127862,0.648800,1.653500
scattered,50000,128,0,total,1000,0.332799,0.314368,0.409344,0.069450,0.242688,0.831488
scattered,50000,128,0,frame_wall,1000,0.326494,0.302750,0.593700,0.086776,0.263800,0.741500
scattered,50000,128,1,frame_wall,1000,0.772891,0.714550,1.015900,0.116419,0.658100,1.436900
scattered,50000,128,0,total,1000,0.329963,0.316416,0.397312,0.066425,0.238592,0.800544
scattered,50000,128,0,frame_wall,1000,0.329925,0.303350,0.595500,0.091263,0.258700,0.931700
scattered,50000,128,1,frame_wall,1000,0.791377,0.727600,1.054100,0.134137,0.658000,1.613700
scattered,50000,128,0,total,1000,0.324661,0.312320,0.388096,0.066348,0.242688,0.761856
scattered,100000,128,0,frame_wall,1000,0.684480,0.642450,0.936800,0.223618,0.520900,4.606600
scattered,100000,128,1,frame_wall,1000,1.169855,1.146100,1.417500,0.133332,0.922300,2.125500
scattered,100000,128,0,total,1000,0.643241,0.629632,0.741376,0.068348,0.528384,1.028096
scattered,100000,128,0,frame_wall,1000,0.677093,0.654050,0.939700,0.105436,0.519700,1.035200
scattered,100000,128,1,frame_wall,1000,1.150558,1.130700,1.390400,0.131613,0.924700,2.147600
scattered,100000,128,0,total,1000,0.647038,0.637936,0.741344,0.073988,0.495616,1.045504
scattered,100000,128,0,frame_wall,1000,0.653177,0.629900,0.921400,0.106241,0.516200,1.058600
scattered,100000,128,1,frame_wall,1000,1.148363,1.133450,1.392800,0.129278,0.929700,1.633500
scattered,100000,128,0,total,1000,0.624954,0.617360,0.727040,0.071956,0.496640,1.052672
scattered,200000,128,0,frame_wall,300,1.867699,1.805200,2.170100,0.161002,1.618900,2.968300
scattered,200000,128,1,frame_wall,300,2.715738,2.529150,3.104700,1.237110,2.179100,23.523001
scattered,200000,128,0,total,300,1.840846,1.800192,2.225152,0.165814,1.536736,2.434048
scattered,200000,128,0,frame_wall,300,1.861811,1.797100,2.185600,0.148012,1.603400,2.396800
scattered,200000,128,1,frame_wall,300,2.635770,2.539900,3.068500,0.259059,2.220300,3.438900
scattered,200000,128,0,total,300,1.842234,1.792000,2.232320,0.184250,1.526528,2.510848
scattered,200000,128,0,frame_wall,300,1.883619,1.829250,2.226300,0.159268,1.647400,2.502900
scattered,200000,128,1,frame_wall,300,2.590382,2.479700,2.981200,0.235811,2.258400,3.348600
scattered,200000,128,0,total,300,1.843624,1.799680,2.226944,0.170641,1.549312,2.322432
scattered,500000,128,0,frame_wall,300,11.992245,12.129850,12.383800,0.380709,11.179700,13.198000
scattered,500000,128,1,frame_wall,300,12.875191,12.990250,13.312100,0.371826,11.990200,13.856200
scattered,500000,128,0,total,300,11.994068,12.104640,12.367872,0.345630,11.267072,13.132800
scattered,500000,128,0,frame_wall,300,11.998214,12.118350,12.387800,0.378663,11.244500,13.359300
scattered,500000,128,1,frame_wall,300,12.828541,12.922150,13.273900,0.394977,11.951300,14.591000
scattered,500000,128,0,total,300,11.982568,12.121600,12.407808,0.402745,11.152384,13.220864
scattered,500000,128,0,frame_wall,300,11.957581,12.070400,12.398300,0.395402,11.149400,13.344900
scattered,500000,128,1,frame_wall,300,12.818683,12.940050,13.233300,0.366588,11.975500,13.919500
scattered,500000,128,0,total,300,11.964128,12.084127,12.384096,0.388741,11.207680,13.304832
scattered,1000000,128,0,frame_wall,300,122.017151,121.951355,122.779297,0.373200,121.308296,123.712402
scattered,1000000,128,1,frame_wall,300,123.100945,123.017456,123.925301,0.436928,122.376404,126.662102
scattered,1000000,128,0,total,300,122.081085,121.968643,122.947586,0.506732,121.389053,125.850624
scattered,1000000,128,0,frame_wall,300,122.763962,122.141602,127.047302,2.128991,121.433098,137.567001
scattered,1000000,128,1,frame_wall,300,123.281776,123.218155,124.038803,0.373685,122.567101,124.659302
scattered,1000000,128,0,total,300,122.047844,121.961472,122.788765,0.353486,121.406464,123.263969
scattered,1000000,128,0,frame_wall,300,122.177673,122.041801,123.015404,0.490715,121.404602,124.636200
scattered,1000000,128,1,frame_wall,300,123.651169,123.385399,124.615898,1.283151,122.410004,138.748901
scattered,1000000,128,0,total,300,122.534081,122.457596,123.285507,0.352669,121.717758,123.783165
coherent,1000,128,0,frame_wall,5000,0.107038,0.095300,0.146300,0.054136,0.078700,0.587500
coherent,1000,128,1,frame_wall,5000,0.577656,0.522500,0.829900,0.112198,0.475100,1.363000
coherent,1000,128,0,total,5000,0.102441,0.093184,0.143616,0.050600,0.068608,0.582656
coherent,1000,128,0,frame_wall,5000,0.125796,0.095800,0.293500,0.083783,0.078200,0.769900
coherent,1000,128,1,frame_wall,5000,0.598300,0.526400,0.903200,0.149975,0.479400,1.600000
coherent,1000,128,0,total,5000,0.105462,0.095136,0.155552,0.052561,0.065280,0.599040
coherent,1000,128,0,frame_wall,5000,0.124059,0.098000,0.291800,0.076340,0.078600,0.645000
coherent,1000,128,1,frame_wall,5000,0.592860,0.524100,0.908100,0.144238,0.475000,1.748700
coherent,1000,128,0,total,5000,0.107053,0.093184,0.163840,0.060132,0.067584,0.629760
coherent,2000,128,0,frame_wall,5000,0.116531,0.105400,0.153800,0.056175,0.082200,0.752000
coherent,2000,128,1,frame_wall,5000,0.604704,0.556100,0.850000,0.112877,0.474300,1.381900
coherent,2000,128,0,total,5000,0.119627,0.105472,0.159744,0.058523,0.078848,0.665600
coherent,2000,128,0,frame_wall,5000,0.127433,0.110500,0.311800,0.072241,0.081200,0.743800
coherent,2000,128,1,frame_wall,5000,0.602259,0.556650,0.846600,0.116464,0.473400,2.263100
coherent,2000,128,0,total,5000,0.112793,0.104192,0.145408,0.056202,0.072704,1.860608
coherent,2000,128,0,frame_wall,5000,0.115341,0.104300,0.155300,0.055800,0.081800,0.593500
coherent,2000,128,1,frame_wall,5000,0.591224,0.546500,0.834600,0.108871,0.473100,1.440700
coherent,2000,128,0,total,5000,0.140649,0.104448,0.310272,0.160674,0.076800,5.046208
coherent,5000,128,0,frame_wall,5000,0.203555,0.180400,0.436600,0.082304,0.138300,0.906100
coherent,5000,128,1,frame_wall,5000,0.676593,0.645350,0.932500,0.122115,0.524900,1.763000
coherent,5000,128,0,total,5000,0.202271,0.183296,0.271360,0.076251,0.131072,0.993280
coherent,5000,128,0,frame_wall,5000,0.194995,0.178200,0.267500,0.063785,0.143200,0.691700
coherent,5000,128,1,frame_wall,5000,0.678588,0.652450,0.926500,0.122295,0.523400,1.588800
coherent,5000,128,0,total,5000,0.201664,0.182272,0.276480,0.071366,0.125952,0.963488
coherent,5000,128,0,frame_wall,5000,0.199398,0.184200,0.273500,0.063613,0.144700,0.813500
coherent,5000,128,1,frame_wall,5000,0.663547,0.633850,0.902800,0.110764,0.530400,1.400200
coherent,5000,128,0,total,5000,0.215567,0.183296,0.494592,0.097122,0.133120,0.743424
coherent,10000,128,0,frame_wall,5000,0.215172,0.193600,0.294400,0.069005,0.155700,0.792500
coherent,10000,128,1,frame_wall,5000,0.681161,0.647350,0.927600,0.109660,0.538400,1.401800
coherent,10000,128,0,total,5000,0.212154,0.190240,0.276480,0.066863,0.138240,0.765952
coherent,10000,128,0,frame_wall,5000,0.203712,0.190900,0.267600,0.060190,0.145200,0.697800
coherent,10000,128,1,frame_wall,5000,0.680953,0.647700,0.939300,0.118829,0.532600,1.467200
coherent,10000,128,0,total,5000,0.195324,0.183296,0.257024,0.054632,0.142336,0.676864
coherent,10000,128,0,frame_wall,5000,0.208405,0.193300,0.281300,0.065917,0.142400,0.970000
coherent,10000,128,1,frame_wall,5000,0.693441,0.660200,0.961900,0.118761,0.534300,1.513300
coherent,10000,128,0,total,5000,0.235825,0.191488,0.533280,0.108367,0.134144,1.064960
coherent,20000,128,0,frame_wall,5000,0.259010,0.199500,0.555300,0.176138,0.156600,3.977200
coherent,20000,128,1,frame_wall,5000,0.682400,0.646450,0.935200,0.117097,0.541200,1.821200
coherent,20000,128,0,total,5000,0.220430,0.200672,0.284672,0.060960,0.149504,0.863232
coherent,20000,128,0,frame_wall,5000,0.218656,0.200700,0.287200,0.064885,0.165900,0.782400
coherent,20000,128,1,frame_wall,5000,0.690909,0.651500,0.984000,0.132329,0.543300,1.452900
coherent,20000,128,0,total,5000,0.234408,0.201728,0.529408,0.101206,0.144384,0.955392
coherent,20000,128,0,frame_wall,5000,0.223374,0.203800,0.308500,0.066173,0.155100,0.784200
coherent,20000,128,1,frame_wall,5000,0.685261,0.642000,0.961800,0.125686,0.543400,1.352600
coherent,20000,128,0,total,5000,0.221054,0.203584,0.287744,0.057860,0.154624,0.693248
coherent,50000,128,0,frame_wall,1000,0.243603,0.216100,0.411600,0.090599,0.185600,0.774000
coherent,50000,128,1,frame_wall,1000,0.680697,0.610300,0.959800,0.137068,0.569200,1.537800
coherent,50000,128,0,total,1000,0.238466,0.218112,0.307200,0.081880,0.174080,0.851968
coherent,50000,128,0,frame_wall,1000,0.232417,0.209850,0.362900,0.083930,0.183100,0.680500
coherent,50000,128,1,frame_wall,1000,0.679814,0.606600,1.005500,0.146283,0.569500,1.546700
coherent,50000,128,0,total,1000,0.234488,0.211968,0.303008,0.076932,0.164864,0.764672
coherent,50000,128,0,frame_wall,1000,0.233536,0.212800,0.332300,0.087072,0.184100,1.079100
coherent,50000,128,1,frame_wall,1000,0.688576,0.623500,0.963000,0.129230,0.572100,1.345400
coherent,50000,128,0,total,1000,0.232924,0.218112,0.290816,0.066540,0.164864,0.710656
coherent,100000,128,0,frame_wall,1000,0.263964,0.237050,0.392500,0.086571,0.207300,0.920400
coherent,100000,128,1,frame_wall,1000,0.768633,0.736650,1.007400,0.113219,0.612500,1.649500
coherent,100000,128,0,total,1000,0.271979,0.252928,0.340800,0.070504,0.196608,0.724992
coherent,100000,128,0,frame_wall,1000,0.276519,0.252000,0.502400,0.084759,0.205900,0.806000
coherent,100000,128,1,frame_wall,1000,0.777987,0.738800,1.057500,0.122893,0.620400,1.676300
coherent,100000,128,0,total,1000,0.268209,0.247808,0.347136,0.072924,0.196608,0.871424
coherent,100000,128,0,frame_wall,1000,0.270408,0.250650,0.412900,0.081378,0.209000,0.698300
coherent,100000,128,1,frame_wall,1000,0.762296,0.734600,0.994400,0.103281,0.619600,1.495800
coherent,100000,128,0,total,1000,0.303155,0.249776,0.627712,0.220054,0.192512,3.604480
coherent,200000,128,0,frame_wall,300,0.774480,0.738700,1.025800,0.099478,0.675200,1.128900
coherent,200000,128,1,frame_wall,300,1.191380,1.149550,1.432300,0.106748,1.065300,1.727500
coherent,200000,128,0,total,300,0.760341,0.727040,1.035264,0.120946,0.466944,1.690432
coherent,200000,128,0,frame_wall,300,0.772723,0.738700,1.021000,0.100073,0.670400,1.164000
coherent,200000,128,1,frame_wall,300,1.199551,1.156450,1.401700,0.142577,1.038100,2.466700
coherent,200000,128,0,total,300,0.757578,0.739280,1.041184,0.115309,0.456704,1.304576
coherent,200000,128,0,frame_wall,300,0.771091,0.729650,1.013000,0.116853,0.669300,1.857100
coherent,200000,128,1,frame_wall,300,1.204849,1.158500,1.435900,0.126631,1.026600,1.903400
coherent,200000,128,0,total,300,0.764030,0.736016,1.008640,0.101550,0.474080,1.229824
coherent,500000,128,0,frame_wall,300,1.560271,1.541800,1.728600,0.091337,1.389300,2.120800
coherent,500000,128,1,frame_wall,300,2.247903,2.215650,2.512000,0.131963,1.952100,2.722800
coherent,500000,128,0,total,300,1.479674,1.489920,1.724288,0.143730,1.114112,1.959936
coherent,500000,128,0,frame_wall,300,1.563922,1.549100,1.740400,0.094020,1.405900,2.106200
coherent,500000,128,1,frame_wall,300,2.227435,2.198150,2.483500,0.125016,1.956600,2.846400
coherent,500000,128,0,total,300,1.496350,1.500672,1.759040,0.165392,1.138688,2.884608
coherent,500000,128,0,frame_wall,300,1.574476,1.555000,1.719500,0.207860,1.413500,4.409700
coherent,500000,128,1,frame_wall,300,2.235981,2.172900,2.413000,0.680698,1.991800,13.752900
coherent,500000,128,0,total,300,1.589189,1.504768,1.728512,1.810001,1.120256,32.715775
coherent,1000000,128,0,frame_wall,300,3.921327,3.836700,4.335000,0.191627,3.761400,4.425700
coherent,1000000,128,1,frame_wall,300,4.814234,4.870150,5.072900,0.216627,4.380900,6.092000
coherent,1000000,128,0,total,300,3.876763,3.808256,4.317184,0.221850,3.457024,5.035008
coherent,1000000,128,0,frame_wall,300,3.917751,3.827300,4.336100,0.197808,3.750700,4.552900
coherent,1000000,128,1,frame_wall,300,4.817088,4.875000,5.084700,0.216546,4.359200,5.305400
coherent,1000000,128,0,total,300,3.907358,3.832832,4.344832,0.215786,3.488768,4.461472
coherent,1000000,128,0,frame_wall,300,3.991500,3.904950,4.436700,0.194910,3.827000,4.526800
coherent,1000000,128,1,frame_wall,300,4.818913,4.895300,5.071100,0.207610,4.393100,5.415300
coherent,1000000,128,0,total,300,3.981991,3.899392,4.428800,0.317073,3.548160,6.930432
